ticker,nome
B3SA3.SA,B3
AZUL4.SA,Azul
CVCB3.SA,CVC
HAPV3.SA,Hapvida
PETR4.SA,Petrobras
COGN3.SA,Cogna
BBDC4.SA,Banco Bradesco
ITSA4.SA,Itaúsa
ASAI3.SA,Assaí
ABEV3.SA,Ambev
CMIN3.SA,CSN Mineração
ITUB4.SA,Itaú Unibanco
LREN3.SA,Lojas Renner
MGLU3.SA,Magazine Luiza
CRFB3.SA,Carrefour Brasil
RAIL3.SA,Rumo
USIM5.SA,Usiminas
VALE3.SA,Vale
RAIZ4.SA,Raízen
MRVE3.SA,MRV
GGBR4.SA,Gerdau
RDOR3.SA,Rede D'Or
ANIM3.SA,Ânima Educação
RENT3.SA,Localiza
VAMO3.SA,Grupo Vamos
BRFS3.SA,BRF
POMO4.SA,Marcopolo
CSNA3.SA,Siderúrgica Nacional
ENEV3.SA,Eneva
JBSS3.SA,JBS
IFCM3.SA,Infracommerce
BBAS3.SA,Banco do Brasil
EQTL3.SA,Equatorial Energia
CPLE6.SA,Copel
GOLL4.SA,GOL
VBBR3.SA,Vibra Energia
CSAN3.SA,Cosan
BEEF3.SA,Minerva
PRIO3.SA,PetroRio
NTCO3.SA,Natura
EMBR3.SA,Embraer
MULT3.SA,Multiplan
PETR3.SA,Petrobras
MOVI3.SA,Movida
ELET3.SA,Eletrobras
PCAR3.SA,Grupo Pão de Açúcar
ONCO3.SA,Oncoclínicas
GOAU4.SA,Metalúrgica Gerdau
JFEN3.SA,João Fortes
PETZ3.SA,Petz
BRKM5.SA,Braskem
BPAC11.SA,Banco BTG Pactual
HYPE3.SA,Hypera
RADL3.SA,RaiaDrogasil
YDUQ3.SA,YDUQS
SRNA3.SA,Serena Energia
GMAT3.SA,Grupo Mateus
CMIG4.SA,CEMIG
CSMG3.SA,COPASA
UGPA3.SA,Ultrapar
GFSA3.SA,Gafisa
CPLE3.SA,Copel
CYRE3.SA,Cyrela
AMER3.SA,Americanas
CCRO3.SA,Grupo CCR
SBSP3.SA,Sabesp
ALOS3.SA,Allos
MRFG3.SA,Marfrig
TIMS3.SA,TIM
BBDC3.SA,Banco Bradesco
RAPT4.SA,Randon
SIMH3.SA,Simpar
LWSA3.SA,Locaweb
AURE3.SA,Auren Energia
DXCO3.SA,Dexco
BRAV3.SA,3R Petroleum
QUAL3.SA,Qualicorp
TOTS3.SA,Totvs
STBP3.SA,Santos Brasil
KLBN11.SA,Klabin
VVEO3.SA,Viveo
JHSF3.SA,JHSF
EZTC3.SA,EZTEC
TEND3.SA,Construtora Tenda
WEGE3.SA,WEG
BRAP4.SA,Bradespar
SMFT3.SA,Smart Fit
BHIA3.SA,Casas Bahia
DIRR3.SA,Direcional
ECOR3.SA,EcoRodovias
CXSE3.SA,Caixa Seguridade
SUZB3.SA,Suzano
CBAV3.SA,CBA
AESB3.SA,AES Brasil
CEAB3.SA,C&A
CURY3.SA,Cury
AZZA3.SA,Arezzo
CASH3.SA,Méliuz
RECV3.SA,PetroRecôncavo
BBSE3.SA,BB Seguridade
ALPA4.SA,Alpargatas
AZEV4.SA,Azevedo & Travassos
VIVA3.SA,Vivara
IGTI11.SA,Jereissati Participações
IGTI11.SA,Iguatemi
PSSA3.SA,Porto Seguro
SAPR11.SA,Sanepar
VIVT3.SA,Vivo
SLCE3.SA,SLC Agrícola
TRPL4.SA,Transmissão Paulista
ENGI11.SA,Energisa
CLSA3.SA,ClearSale
SBFG3.SA,Grupo SBF
SMTO3.SA,São Martinho
LJQQ3.SA,Lojas Quero-Quero
CPFE3.SA,CPFL Energia
BRSR6.SA,Banrisul
SAPR4.SA,Sanepar
GGPS3.SA,GPS
POSI3.SA,Positivo
FLRY3.SA,Fleury
MELK3.SA,Melnick
FRAS3.SA,Fras-le
RCSL3.SA,Recrusul
MLAS3.SA,Multilaser
SANB11.SA,Banco Santander
BPAN4.SA,Banco Pan
TAEE11.SA,Taesa
TTEN3.SA,3tentos
LPSB3.SA,Lopes
OIBR3.SA,Oi
ELET6.SA,Eletrobras
PORT3.SA,Wilson Sons
FIQE3.SA,Unifique
IRBR3.SA,IRB Brasil RE
LIGT3.SA,Light
JSLG3.SA,JSL
VLID3.SA,Valid
MILS3.SA,Mills
ITUB3.SA,Itaú Unibanco
INTB3.SA,Intelbras
EGIE3.SA,Engie
SEER3.SA,Ser Educacional
KLBN4.SA,Klabin
TRAD3.SA,Traders Club
GUAR3.SA,Guararapes
MTRE3.SA,Mitre Realty
HBSA3.SA,Hidrovias do Brasil
RANI3.SA,Irani
MDIA3.SA,M. Dias Branco
DASA3.SA,Dasa
MYPK3.SA,Iochpe-Maxion
ORVR3.SA,Orizon
HBOR3.SA,Helbor
AZEV3.SA,Azevedo & Travassos
GRND3.SA,Grendene
CSED3.SA,Cruzeiro do Sul Educacional
TRIS3.SA,Trisul
KEPL3.SA,Kepler Weber
PDGR3.SA,PDG Realty
EVEN3.SA,Even
LAVV3.SA,Lavvi Incorporadora
BMGB4.SA,Banco BMG
MEAL3.SA,IMC Alimentação
ODPV3.SA,Odontoprev
NGRD3.SA,Neogrid
ABCB4.SA,Banco ABC Brasil
SEQL3.SA,Sequoia Logística
SYNE3.SA,SYN
ALUP11.SA,Alupar
ENJU3.SA,Enjoei
KRSA3.SA,Kora Saúde
PGMN3.SA,Pague Menos
ARML3.SA,Armac
AMBP3.SA,Ambipar
OPCT3.SA,OceanPact
AMAR3.SA,Lojas Marisa
NEOE3.SA,Neoenergia
MBLY3.SA,Mobly
VULC3.SA,Vulcabras
PLPL3.SA,Plano&Plano
BRIT3.SA,Brisanet
RCSL4.SA,Recrusul
LEVE3.SA,Mahle Metal Leve
SHOW3.SA,Time For Fun
BRBI11.SA,BR Partners
SOJA3.SA,Boa Safra Sementes
PNVL3.SA,Dimed
PTBL3.SA,Portobello
MDNE3.SA,Moura Dubeux
ZAMP3.SA,Zamp
FESA4.SA,Ferbasa
POMO3.SA,Marcopolo
USIM3.SA,Usiminas
TUPY3.SA,Tupy
HBRE3.SA,HBR Realty
